zipcode,DealerName,Address,Link,city,state,county_name,Latitude,IV_link,Longitude
2601,Hyannis Toyota,"1020 Iyannough Road, Hyannis, Massachusetts 02601",http://www.hyannistoyota.com,Hyannis,MA,Barnstable County,NA,http://www.hyannistoyota.com/inventory/new-vehicles,NA
2653,Orleans Toyota,"16 O'Connor Road, Orleans, Massachusetts 02653",http://www.orleanstoyota.com,Orleans,MA,Barnstable County,NA,http://www.orleanstoyota.com/inventory/new-vehicles,NA
2747,Toyota of Dartmouth,"100 Faunce Corner Mall Road, North Dartmouth, Massachusetts 02747",http://www.toyotaofdartmouth.com,North Dartmouth,MA,Bristol County,NA,http://toyotaofdartmouth.com/inventory/view/New/,NA
2760,Boch Toyota South,"620 South Washington St., North Attleboro, Massachusetts 02760",http://www.bochtoyotasouth.com,North Attleboro,MA,Bristol County,NA,http://www.bochtoyotasouth.com/new-inventory/index.htm,NA
2767,Route 44 Toyota,"1154 New State Highway, Raynham, Massachusetts 02767",http://www.route44toyota.com,Raynham,MA,Bristol County,NA,http://route44toyota.com/New-Inventory.aspx,NA
2809,"Bristol Toyota, Inc.","706 Metacom Avenue, Bristol, Rhode Island 02809",http://www.bristoltoyota.com,Bristol,RI,Bristol County,NA,http://www.bristoltoyota.com/new-inventory/index.htm,NA
2842,Premier Toyota of Newport,"285 East Main Road, Middletown, Rhode Island 02842",http://www.premiertoyotaofnewport.com,Middletown,RI,Newport County,NA,http://www.premiertoyotaofnewport.com/new-inventory/index.htm,NA
2852,Tarbox Toyota,"3671 Quaker Lane, North Kingstown, Rhode Island 02852",http://www.tarbox-toyota.com,North Kingstown,RI,Washington County,NA,http://www.tarbox-toyota.com/new-toyota-tacoma-north-kingstown-ri,NA
2888,Balise Toyota of Warwick,"1400 Post Road, Warwick, Rhode Island 02888",http://www.balisetoyotaofwarwick.com,Warwick,RI,Kent County,NA,http://www.balisetoyotaofwarwick.com/new-inventory/,NA
2891,Valenti Toyota,"6 Langworthy Road, Westerly, Rhode Island 02891",http://www.valentitoyota.com,Westerly,RI,Washington County,NA,http://www.valentitoyota.com/new-vehicles/,NA
2914,Fox Toyota,"415 Taunton Avenue, East Providence, Rhode Island 02914",http://www.foxtoyota.net,East Providence,RI,Providence County,NA,http://www.foxtoyota.net/search/new/tp/,NA
2917,Colonial Toyota,"550 George Washington Hwy, Smithfield, Rhode Island 02917",http://www.colonialtoyota.com,Smithfield,RI,Providence County,NA,http://www.colonialtoyota.com/new-inventory/index.htm,NA
3042,Hurlbert Toyota,"58 Calef Highway, Epping, New Hampshire 03042",http://www.hurlberttoyota.com,Epping,NH,Rockingham County,NA,http://hurlberttoyota.com/New-Inventory,NA
3060,Toyota of Nashua,"10 Marmon Drive, Nashua, New Hampshire 03060",http://www.toyotaofnashua.com,Nashua,NH,Hillsborough County,NA,http://www.toyotaofnashua.com/new-cars/,NA
3079,Rockingham Toyota,"412 S. Broadway, Salem, New Hampshire 03079",http://www.rockinghamtoyota.com,Salem,NH,Rockingham County,NA,http://www.rockinghamtoyota.com/new-inventory/index.htm,NA
3103,Ira Toyota of Manchester,"33 Autocenter Road, Manchester, New Hampshire 03103",http://www.toyotaofmanchesternh.com,Manchester,NH,Hillsborough County,NA,http://www.toyotaofmanchesternh.com/new-inventory/index.htm,NA
3246,Irwin Toyota,"59 Bisson Avenue, Laconia, New Hampshire 03246",http://www.irwinzonetoyota.com,Laconia,NH,Belknap County,NA,http://www.irwinzonetoyota.com/searchnew.aspx,NA
3304,Grappone Toyota,"594 State Route 3A - Bow, Bow, New Hampshire 03304",http://www.grapponetoyota.com,Bow,NH,Merrimack County,NA,http://www.grapponetoyota.com/new-vehicles/,NA
3446,Toyota of Keene,"591 Monadnock Hwy. Rt 12, East Swanzey, New Hampshire 03446",http://www.toyotakeene.com,Swanzey,NH,Cheshire County,NA,http://www.toyotakeene.com/new-inventory/index.htm,NA
3581,Berlin City Toyota,"485 Main Street, Gorham, New Hampshire 03581",http://www.berlincitytoyotanh.com,Gorham,NH,Coos County,NA,http://www.berlincitytoyotanh.com/searchnew.aspx,NA
3743,Howe Toyota,"112-114 Charlestown Road, Claremont, New Hampshire 03743",http://www.howemotors.com,Claremont,NH,Sullivan County,NA,NA,NA
3801,Toyota of Portsmouth,"150 Greenleaf Avenue, Portsmouth, New Hampshire 03801",http://www.toyotaofportsmouth.com,Portsmouth,NH,Rockingham County,NA,http://www.toyotaofportsmouth.com/New-Inventory,NA
3820,Bill Dube Toyota,"40 Dover Point Road, Dover, New Hampshire 03820",http://www.billdubetoyota.com,Dover,NH,Strafford County,NA,http://www.billdubetoyota.com/new-inventory/index.htm,NA
3867,Rochester Toyota,"Route 11 West, Rochester, New Hampshire 03867",http://www.rochestertoyota.net,Rochester,NH,Strafford County,NA,http://www.rochestertoyota.net/inventory/new-vehicles,NA
4072,Prime Toyota,"783 Portland Road, Saco, Maine 04072",http://www.primetoyota.com,Saco,ME,York County,NA,NA,NA
4086,Lee Toyota,"115 Main Street, Topsham, Maine 04086",http://www.leetoyota.com,Topsham,ME,Sagadahoc County,NA,http://www.leetoyota.com/new-inventory/index.htm,NA
4103,Berlin City Toyota of Portland,"191 Riverside Street, Portland, Maine 04103",http://www.berlincitytoyotame.com,Portland,ME,Cumberland County,NA,http://www.berlincitytoyotame.com/new-inventory/,NA
4210,Emerson Toyota,"990 Center Street, Auburn, Maine 04210",http://www.emersontoyota.com,Auburn,ME,Androscoggin County,NA,http://www.emersontoyota.com/new-inventory.aspx,NA
4330,Charlie's Toyota,"451 Western Avenue, Augusta, Maine 04330",http://www.charliestoyota.com,Augusta,ME,Kennebec County,NA,http://www.charliestoyota.com/new-inventory/index.htm,NA
4412,Down East Toyota,"652 Wilson Street, Brewer, Maine 04412",http://www.downeasttoyota.com,Brewer,ME,Penobscot County,NA,http://downeasttoyota.com/Brewer-Maine/For-Sale/New/,NA
4730,York Toyota,"315 North Street, Houlton, Maine 04730",http://www.yorkstoyota.com,Houlton,ME,Aroostook County,NA,http://yorkstoyota.com/Houlton-ME/For-Sale/New/,NA
4841,Shepard Toyota,"181 New County Road, Rockland, Maine 04841",http://www.shepardtoyota.com,Rockland,ME,Knox County,NA,http://www.shepardtoyota.com/new-inventory/index.htm,NA
4901,Central Maine Toyota,"15 Airport Road, Waterville, Maine 04901",http://www.cmtoy.com,Waterville,ME,Kennebec County,NA,http://www.cmtoy.com/new-inventory/index.htm,NA
5001,White River Toyota,"303 Sykes Mountain Avenue, White River Junction, Vermont 05001",http://www.whiterivertoyota.com,White River Junction,VT,Windsor County,NA,http://www.whiterivertoyota.com/new-cars-white-river-junction-vt,NA
5158,Durand Toyota Ford,"6896 Route 5 South, Westminster, Vermont 05158",http://www.durandtoyota.com,Westminster,VT,Windham County,NA,http://www.durandtoyota.com/new-inventory/index.htm,NA
5201,Carbone Toyota of Bennington,"751 North Bennington Road, Bennington, Vermont 05201",http://www.carbonetoyota.com,Bennington,VT,Bennington County,NA,http://www.carbonetoyota.com/new-inventory/index.htm,NA
5403,Heritage Toyota,"1620 Shelburne Road, South Burlington, Vermont 05403",http://www.heritagetoyotacars.com,South Burlington,VT,Chittenden County,NA,http://www.heritagetoyotacars.com/new-cars-south-burlington-vt,NA
5478,Handy Toyota,"701 Highgate Road, St. Albans, Vermont 05478",http://www.handytoyota.com,Saint Albans,VT,Franklin County,NA,http://www.handytoyota.com/inventory/view/New/,NA
5602,802 Toyota,"30 Berlin Mall Road, Berlin, Vermont 05602",http://www.802toyota.com,Montpelier,VT,Washington County,NA,http://www.802toyota.com/new-inventory/index.htm,NA
5701,Alderman's Toyota,"33 Seward Road, Rutland, Vermont 05701",http://www.aldermanstoyota.com,Rutland,VT,Rutland County,NA,http://www.aldermanstoyota.com/new-inventory/index.htm,NA
6010,Stephen Toyota,"1069 Farmington Ave, Bristol, Connecticut 06010",http://www.stephentoyota.com,Bristol,CT,Hartford County,NA,http://www.stephentoyota.com/new-inventory/index.htm,NA
