zipcode,DealerName,Address,Link,city,state,county_name,Latitude,IV_link,Longitude
21224,DARCARS Toyota of Baltimore,"6007 Eastern Avenue, Baltimore, Maryland 21224",http://www.darcarstoyotaofbaltimore.com,Baltimore,MD,Baltimore city,NA,http://www.darcarstoyotaofbaltimore.com/new-inventory/?,NA
21228,Russel Toyota,"6324 Baltimore Ntl Pike, Baltimore, Maryland 21228",http://www.russeltoyota.com,Catonsville,MD,Baltimore County,NA,http://www.russeltoyota.com/new-inventory/,NA
21236,Jerry's Toyota,"8001 Belair Road, Baltimore, Maryland 21236",http://www.jerrystoyota.com,Nottingham,MD,Baltimore County,NA,http://www.jerrystoyota.com/searchnew.aspx,NA
21401,Koons Toyota,"1107 West Street, Annapolis, Maryland 21401",http://www.koonstoyotaannapolis.com,Annapolis,MD,Anne Arundel County,NA,http://www.koonstoyotaannapolis.com/new-inventory/index.htm,NA
21601,Koons Easton Toyota,"6730 Ocean Gateway, Easton, Maryland 21601",http://koonstoyotaeaston.com,Easton,MD,Talbot County,NA,http://www.koonstoyotaeaston.com/new-inventory/index.htm,NA
21704,DARCARS Toyota of Frederick,"5293 Buckeystown Pike, Frederick, Maryland 21704",http://www.darcarstoyotaoffrederick.com,Frederick,MD,Frederick County,NA,http://www.darcarstoyotaoffrederick.com/new-inventory/?,NA
21740,Younger Toyota,"1945 Dual Highway, Hagerstown, Maryland 21740",http://www.youngertoyota.com,Hagerstown,MD,Washington County,NA,http://www.youngertoyota.com/searchnew.aspx,NA
21801,Pohanka Toyota of Salisbury,"2010 N. Salisbury Blvd., Salisbury, Maryland 21801",http://www.pohankatoyotamd.com,Salisbury,MD,Wicomico County,NA,http://www.pohankatoyotamd.com/search/new/tp/s:yr1/,NA
21851,Midway Toyota,"1337 Ocean Highway, Pocomoke City, Maryland 21851",http://www.midwaytoyota.com,Pocomoke City,MD,Worcester County,NA,http://www.midwaytoyota.com/searchnew.aspx,NA
22030,Ourisman Fairfax Toyota,"10287 Fairfax Boulevard, Fairfax, Virginia 22030",http://www.ourismanfairfaxtoyota.com,Fairfax,VA,Fairfax County,NA,http://www.ourismanfairfaxtoyota.com/searchnew.aspx,NA
22042,Bill Page Toyota,"2923 Annandale Road, Falls Church, Virginia 22042",http://www.billpagetoyota.com,Falls Church,VA,Fairfax County,NA,http://www.billpagetoyota.com/searchnew.aspx,NA
22150,Priority Toyota Springfield,"7601 Loisdale Road, Springfield, Virginia 22150",http://www.prioritytoyotaspringfield.com,Springfield,VA,Fairfax County,NA,http://www.prioritytoyotaspringfield.com/searchnew.aspx,NA
22182,Koons Tysons Toyota,"8610 Leesburg Pike, Vienna, Virginia 22182",http://www.koonstoyotatysonscorner.com,Vienna,VA,Fairfax County,NA,http://www.koonstoyotatysonscorner.com/new-inventory/index.htm,NA
22191,Lustine Toyota,"14227 Jefferson Davis Hwy, Woodbridge, Virginia 22191",http://www.lustinetoyota.com,Woodbridge,VA,Prince William County,NA,http://www.lustinetoyota.com/new-inventory/?,NA
22207,Koons Arlington Toyota,"4045 Lee Highway, Arlington, Virginia 22207",http://www.koonstoyotaarlington.com,Arlington,VA,Arlington County,NA,http://www.koonstoyotaarlington.com/new-inventory/index.htm,NA
22305,Jack Taylor's Alexandria Toyota,"3750 Jefferson Davis Hwy., Alexandria, Virginia 22305",http://www.alexandriatoyota.com,Alexandria,VA,Alexandria city,NA,http://www.alexandriatoyota.com/new-inventory/index.htm,NA
22408,Rosner Toyota,"3507 Jefferson Davis Hwy, Fredericksburg, Virginia 22408",http://www.fredericksburgtoyota.com,Fredericksburg,VA,Spotsylvania County,NA,http://www.fredericksburgtoyota.com/new-inventory/index.htm,NA
22554,Toyota of Stafford,"95 Garrisonville Road, Stafford, Virginia 22554",http://www.rosnerstaffordtoyota.com,Stafford,VA,Stafford County,NA,http://rosnerstaffordtoyota.com/new-inventory/,NA
22601,Malloy Toyota,"400 Weems Lane, Winchester, Virginia 22601",http://www.malloytoyotaauto.com,Winchester,VA,Winchester city,NA,http://www.malloytoyotaauto.com/new-inventory/,NA
22701,Battlefield Toyota,"11013 James Monroe Hwy., Culpeper, Virginia 22701",http://www.battlefieldtoyota.com,Culpeper,VA,Culpeper County,NA,http://www.battlefieldtoyota.com/searchnew.aspx,NA
22801,Steven Toyota,"2970 South Main St., Harrisonburg, Virginia 22801",http://www.steventoyota.com,Harrisonburg,VA,Harrisonburg city,NA,http://www.steventoyota.com/new-inventory/index.htm,NA
22911,Brown Toyota,"1357 Richmond Road, Charlottesville, Virginia 22911",http://www.brownautostoyota.com,Charlottesville,VA,Albemarle County,NA,http://www.brownautostoyota.com/new-inventory/index.htm,NA
23061,Gloucester Toyota,"6357 George Washington Hy, Gloucester, Virginia 23061",http://www.gloucestertoyota.com,Gloucester,VA,Gloucester County,NA,http://www.gloucestertoyota.com/searchnew.aspx,NA
23111,Mechanicsville Toyota,"6546 Mechanicsville Pike, Mechanicsville, Virginia 23111",http://www.mechanicsvilletoyota.com,Mechanicsville,VA,Hanover County,NA,http://www.mechanicsvilletoyota.com/new-inventory/index.htm,NA
23112,Haley Toyota of Richmond,"3600 Lonas Parkway, Midlothian, Virginia 23112",http://www.haleytoyota.com,Midlothian,VA,Chesterfield County,NA,http://www.haleytoyota.com/inventory/newsearch/new/,NA
23188,Casey Toyota,"601 East Rochambeau Drive, Williamsburg, Virginia 23188",http://www.caseytoyota.com,Williamsburg,VA,James City County,NA,http://caseytoyota.com/New-Inventory,NA
23294,McGeorge Toyota,"9319 West Broad Street, Richmond, Virginia 23294",http://www.mcgeorgetoyota.com,Richmond,VA,Henrico County,NA,http://www.mcgeorgetoyota.com/searchnew.aspx,NA
23320,Priority Toyota,"1800 Greenbrier Parkway, Chesapeake, Virginia 23320",http://www.prioritytoyota.com,Chesapeake,VA,Chesapeake city,NA,NA,NA
23321,First Team Toyota,"3400 Western Branch Boulevard, Chesapeake, Virginia 23321",http://www.firstteamtoyota.com,Chesapeake,VA,Chesapeake city,NA,http://www.firstteamtoyota.com/inventory/view/New/,NA
23454,Charles Barker Toyota,"1877 Laskin Road, Virginia Beach, Virginia 23454",http://www.charlesbarkertoyota.com,Virginia Beach,VA,Virginia Beach city,NA,http://www.charlesbarkertoyota.com/new-inventory/index.htm,NA
23462,Checkered Flag Toyota,"5301 Virginia Beach Blvd., Virginia Beach, Virginia 23462",http://toyota.checkeredflag.com,Virginia Beach,VA,Virginia Beach city,NA,http://toyota.checkeredflag.com/new-inventory/,NA
23608,Pearson Toyota,"12978 Jefferson Avenue, Newport News, Virginia 23608",http://www.pearsontoyotascion.com,Newport News,VA,Newport News city,NA,http://www.pearsontoyotascion.com/new-inventory/index.htm,NA
23666,Priority Toyota Hampton,"2301 West Mercury Boulevard, Hampton, Virginia 23666",http://www.prioritytoyotahampton.com,Hampton,VA,Hampton city,NA,http://www.prioritytoyotahampton.com/searchnew.aspx,NA
23831,Priority Toyota Richmond,"2000 Walthall Center Dr., Chester, Virginia 23831",http://www.prioritytoyotarichmond.com,Chester,VA,Chesterfield County,NA,http://www.prioritytoyotarichmond.com/searchnew.aspx,NA
23901,Haley Toyota of Farmville,"1906 S. Main Street, Farmville, Virginia 23901",http://www.haleytoyotafarmville.com,Farmville,VA,Prince Edward County,NA,http://www.haleytoyotafarmville.com/inventory/newsearch/New/,NA
24012,Haley Toyota,"1530 Courtland Road, N.E., Roanoke, Virginia 24012",http://www.haleytoyotaofroanoke.com,Roanoke,VA,Roanoke city,NA,http://haleytoyotaofroanoke.com/inventory/newsearch/New/,NA
24073,Shelor Toyota,"2230 Roanoke Street, Christiansburg, Virginia 24073",http://www.shelortoyota.com,Christiansburg,VA,Montgomery County,NA,http://www.shelortoyota.com/new-cars/for-sale,NA
24168,Nelson Toyota,"980 Fairystone Park Highway, Stanleytown, Virginia 24168",http://www.nelsontoyotava.com,Stanleytown,VA,Henry County,NA,NA,NA
24401,McDonough Toyota,"918 Richmond Road, Staunton, Virginia 24401",http://www.mcdonoughtoyota.com,Staunton,VA,Staunton city,NA,http://www.mcdonoughtoyota.com/searchnew.aspx,NA
24502,Berglund Toyota,"3000 Wards Road (Rt. 29), Lynchburg, Virginia 24502",http://www.berglundtoyota.com,Lynchburg,VA,Lynchburg city,NA,http://www.berglundtoyota.com/new-inventory/index.htm,NA
24541,Danville Toyota,"125 Piedmont Place, Danville, Virginia 24541",http://www.danvilletoyota.com,Danville,VA,Danville city,NA,http://www.danvilletoyota.com/NewToyotaCars,NA
24740,Ramey Toyota,"135 Frazier Drive, Princeton, West Virginia 24740",http://www.rameytoyota.com,Princeton,WV,Mercer County,NA,http://www.rameytoyota.com/searchnew.aspx,NA
25177,Love Toyota,"1433 MacCorkle Avenue, Saint Albans, West Virginia 25177",http://www.lovetoyota.com,Saint Albans,WV,Kanawha County,NA,http://www.lovetoyota.com/VehicleSearchResults?search=new,NA
25387,Bert Wolfe Toyota,"1900 Patrick Street Plaza, Charleston, West Virginia 25387",http://www.bertwolfetoyota.com,Charleston,WV,Kanawha County,NA,http://www.bertwolfetoyota.com/new-inventory/index.htm,NA
25401,Apple Valley Toyota,"650 Foxcroft Avenue, Martinsburg, West Virginia 25401",http://www.applevalleytoyota.com,Martinsburg,WV,Berkeley County,NA,http://www.applevalleytoyota.com/new-inventory/index.htm,NA
25504,Advantage Toyota,"1 Superior Way, Barboursville, West Virginia 25504",http://www.advantagetoyota.com,Barboursville,WV,Cabell County,NA,http://www.advantagetoyota.com/new-inventory/index.htm,NA
25508,Mike Ferrell Toyota,"U.S. 119 - Corridor ""G"", Chapmanville, West Virginia 25508",http://www.mikeferrelltoyotawv.com,Chapmanville,WV,Logan County,NA,http://www.mikeferrelltoyotawv.com/inventory,NA
25801,L & S Toyota of Beckley,"248 Auto Plaza, Beckley, West Virginia 25801",http://www.lstoyotabeckley.com,Beckley,WV,Raleigh County,NA,http://lstoyotabeckley.com/inventory/view/New/,NA
26059,Jim Robinson Toyota,"55 Robinson Drive, Triadelphia, West Virginia 26059",http://www.robinsontoyota.net,Triadelphia,WV,Ohio County,NA,http://www.robinsontoyota.net/searchnew.aspx,NA
26101,Superior Toyota,"3101 E 7th Street, Parkersburg, West Virginia 26101",http://www.superiortoyotawv.com,Parkersburg,WV,Wood County,NA,http://www.superiortoyotawv.com/new-inventory,NA
26201,Buckhannon Toyota,"Route 33 Brushy Fork Road, Buckhannon, West Virginia 26201",http://www.buckhannontoyota.com,Buckhannon,WV,Upshur County,NA,http://www.buckhannontoyota.com/searchnew.aspx,NA
26506,University Toyota,"60 Don Knotts Blvd., Morgantown, West Virginia 26506",http://www.universitytoyota.com,Morgantown,WV,Monongalia County,NA,http://universitytoyota.com/new-inventory,NA
26554,Dan Cava's Toyota World,"2510 White Hall Boulevard, White Hall, West Virginia 26554",http://www.cavatoyota.com,Fairmont,WV,Marion County,NA,http://www.cavatoyota.com/new-toyota-near-fairmont-wv,NA
27030,Mount Airy Toyota Scion,"508 N Andy Griffith Pkwy, Mount Airy, North Carolina 27030",http://www.mountairytoyota.com,Mount Airy,NC,Surry County,NA,http://www.mountairytoyota.com/new-inventory/index.htm,NA
27127,Modern Toyota,"3178 Peters Creek Parkway, Winston-Salem, North Carolina 27127",http://www.moderntoyota.com,Winston Salem,NC,Forsyth County,NA,http://www.moderntoyota.com/new-cars/,NA
27203,Mid-State Toyota,"1636 Highway 64 East, Asheboro, North Carolina 27203",http://www.midstatetoyota.com,Asheboro,NC,Randolph County,NA,http://www.midstatetoyota.com/new-inventory/,NA
27215,Cox Toyota/Scion,"3860 Danbrook Road, Burlington, North Carolina 27215",http://www.coxtoyota.com,Burlington,NC,Alamance County,NA,http://www.coxtoyota.com/new-cars-burlington-nc,NA
27262,Vann York Toyota,"500 Eastchester Drive, High Point, North Carolina 27262",http://www.vannyorktoyota.com,High Point,NC,Guilford County,NA,http://vannyorktoyota.com/NewToyotaCars,NA
27332,Fred Anderson Toyota of Sanford,"3321 Highway 87 South, Sanford, North Carolina 27332",http://www.toyotaofsanford.com,Sanford,NC,Lee County,NA,http://www.toyotaofsanford.com/new-cars-sanford-nc,NA
27408,Rice Toyota/Scion,"2630 Battleground Avenue, Greensboro, North Carolina 27408",http://www.ricetoyota.com,Greensboro,NC,Guilford County,NA,http://www.ricetoyota.com/new-toyota-greensboro-nc,NA
27523,Hendrick Toyota Scion Apex,"1210 Laura Village Drive, Apex, North Carolina 27523",http://www.hendricktoyotaapex.com,Eagle Rock,NC,Wake County,NA,NA,NA
27534,Toyota of Goldsboro,"301 N. Oak Forest Road, Goldsboro, North Carolina 27534",http://www.toyotaofgoldsboro.com,Goldsboro,NC,Wayne County,NA,http://www.toyotaofgoldsboro.com/searchnew.aspx,NA
27537,Toyota/Scion of Henderson,"205 Toyota Lane, Henderson, North Carolina 27537",http://www.toyotaofhenderson.com,Henderson,NC,Vance County,NA,http://www.toyotaofhenderson.com/searchnew.aspx,NA
27616,Leith Toyota,"8005 Capital Blvd., Raleigh, North Carolina 27616",http://www.leithtoyota.com,Raleigh,NC,Wake County,NA,http://www.leithtoyota.com/searchnew.aspx,NA
27617,Fred Anderson Toyota/Scion,"9101 Glenwood Avenue, Raleigh, North Carolina 27617",http://www.fredandersontoyota.com,Raleigh,NC,Wake County,NA,http://www.fredandersontoyota.com/new-cars-raleigh-nc,NA
27707,Mark Jacobson Toyota Scion,"4516 Durham Chapel Hill Blvd., Durham, North Carolina 27707",http://www.markjacobsontoyota.com,Durham,NC,Durham County,NA,http://www.markjacobsontoyota.com/new-inventory/index.htm,NA
27804,Bobby Murray Toyota,"943 N. Wesleyan Blvd., Rocky Mount, North Carolina 27804",http://www.bmurraytoyota.com,Rocky Mount,NC,Nash County,NA,http://www.bmurraytoyota.com/searchnew.aspx,NA
27834,Greenville Toyota/Scion,"3615 South Memorial Drive, Greenville, North Carolina 27834",http://www.greenvilletoyota.com,Greenville,NC,Pitt County,NA,http://www.greenvilletoyota.com/searchnew.aspx,NA
27870,"Bone's Toyota, Inc.","1615 E. 10th Street, Roanoke Rapids, North Carolina 27870",http://www.bonestoyota.com,Roanoke Rapids,NC,Halifax County,NA,http://www.bonestoyota.com/search/new/tp/,NA
27889,Pecheles Ford Toyota Scion,"4020 Highway 264 West, Washington, North Carolina 27889",http://www.pechelestoyota.com,Washington,NC,Beaufort County,NA,http://www.pechelestoyota.com/new-inventory/index.htm,NA
27896,Hubert Vester Toyota Scion of Wilson,"3712 Raleigh Road Pkwy., Wilson, North Carolina 27896",http://www.toyotaofwilson.com,Wilson,NC,Wilson County,NA,http://www.toyotaofwilson.com/new-cars-wilson-nc,NA
27909,Toyota Scion of Elizabeth City,"1002 Halstead Blvd.., Elizabeth City, North Carolina 27909",http://www.toyotaofelizabethcity.com,Elizabeth City,NC,Pasquotank County,NA,http://www.toyotaofelizabethcity.com/searchnew.aspx,NA
28027,Hendrick Toyota Scion Concord,"7670 Bruton Smith Blvd., Concord, North Carolina 28027",http://www.Hendricktoyotaconcord.com,Concord,NC,Cabarrus County,NA,http://www.hendricktoyotaconcord.com/searchnew.aspx,NA
28056,Toyota/Scion of Gastonia,"4821 Wilkinson Blvd., Gastonia, North Carolina 28056",http://www.toyotaofgastonia.com,Gastonia,NC,Gaston County,NA,http://toyotaofgastonia.com/NewToyotaCars,NA
28078,Toyota Scion of North Charlotte,"13429 Statesville Road, Huntersville, North Carolina 28078",http://www.toyotaofnorthcharlotte.com,Huntersville,NC,Mecklenburg County,NA,http://www.toyotaofnorthcharlotte.com/new-inventory/index.htm,NA
28104,Scott Clark's Toyota City/Scion,"13000 East Independence Blvd, Stallings, North Carolina 28104",http://www.scottclarkstoyota.com,Matthews,NC,Union County,NA,http://www.scottclarkstoyota.com/searchnew.aspx,NA
28147,Cloninger Toyota,"511 Jake Alexander Blvd. South, Salisbury, North Carolina 28147",http://www.cloningertoyota.com,Salisbury,NC,Rowan County,NA,NA,NA
28273,Town & Country Toyota - Scion,"9101 South Boulevard, Charlotte, North Carolina 28273",http://www.townandcountrytoyota.com,Charlotte,NC,Mecklenburg County,NA,http://www.townandcountrytoyota.com/new-inventory/,NA
28314,Rick Hendrick Toyota Scion,"1969 Skibo Road, Fayetteville, North Carolina 28314",http://www.rickhendricktoyota.com,Fayetteville,NC,Cumberland County,NA,NA,NA
28328,Go Toyota,"1613 Sunset Avenue, Clinton, North Carolina 28328",http://www.gotoyota.com,Clinton,NC,Sampson County,NA,http://www.gotoyota.com/searchnew.aspx,NA
28345,Griffin Toyota Scion,"949 U.S. Highway 74 East, Hamlet, North Carolina 28345",http://www.griffintoyota.com,Hamlet,NC,Richmond County,NA,http://www.griffintoyota.com/inventory/view/New/,NA
28359,Peterson Toyota Scion,"4381 Fayetteville Road, Lumberton, North Carolina 28359",http://www.petersontoyota.com,Lumberton,NC,Robeson County,NA,http://www.petersontoyota.com/searchnew.aspx,NA
28387,Pinehurst Toyota-Mitsubishi,"10760 US Highway 15-501, Southern Pines, North Carolina 28387",http://www.pinehursttoyota.com,Southern Pines,NC,Moore County,NA,http://www.pinehursttoyota.com/VehicleSearchResults?search=new,NA
28405,Hendrick Toyota Scion Wilmington,"5640 Market Street, Wilmington, North Carolina 28405",http://www.hendricktoyotawilmington.com,Wilmington,NC,New Hanover County,NA,NA,NA
28504,Massey Toyota-Scion,"4760 Highway 70 West, Kinston, North Carolina 28504",http://www.masseytoyota.com,Kinston,NC,Lenoir County,NA,http://www.masseytoyota.com/new-inventory/index.htm,NA
28546,Stevenson Toyota Scion,"3124 N. Marine Boulevard, Jacksonville, North Carolina 28546",http://www.stevensontoyota.com,Jacksonville,NC,Onslow County,NA,http://www.stevensontoyota.com/new-inventory/index.htm,NA
28560,Toyota Scion of New Bern,"5010 Highway 70 East, New Bern, North Carolina 28560",http://www.toyotaofnewbern.com,New Bern,NC,Craven County,NA,http://www.toyotaofnewbern.com/searchnew.aspx,NA
28602,Mike Johnson's Hickory Toyota Scion,"435 Highway 70 S.E., Hickory, North Carolina 28602",http://www.hickorytoyota.com,Hickory,NC,Catawba County,NA,http://www.hickorytoyota.com/new-inventory/index.htm,NA
28607,Modern Toyota Scion of Boone,"665 East King Street, Boone, North Carolina 28607",http://www.moderntoyotaofboone.com,Boone,NC,Watauga County,NA,http://www.moderntoyotaofboone.com/new-cars/,NA
28625,Flow Toyota/Scion of Statesville,"997 Folger Drive, Statesville, North Carolina 28625",http://flowtoyotaofstatesville.com,Statesville,NC,Iredell County,NA,http://www.flowtoyotaofstatesville.com/new-inventory/index.htm,NA
28659,Victory Toyota / Scion,"1502 West D Street, North Wilkesboro, North Carolina 28659",http://www.victorytoyotanc.com,North Wilkesboro,NC,Wilkes County,NA,http://www.victorytoyotanc.com/new-inventory/index.htm,NA
28792,Bryan Easler Toyota,"1409 Spartanburg Highway, Hendersonville, North Carolina 28792",http://www.bryaneaslertoyota.com,Hendersonville,NC,Henderson County,NA,http://bryaneaslertoyota.com/New-Inventory.aspx,NA
28806,Jim Barkley Toyota of Asheville,"777 Brevard Road, Asheville, North Carolina 28806",http://www.jimbarkleytoyota.com,Asheville,NC,Buncombe County,NA,NA,NA
29063,Jim Hudson Toyota,"970 Columbiana Drive, Irmo, South Carolina 29063",http://www.jimhudsontoyota.com,Irmo,SC,Richland County,NA,http://www.jimhudsontoyota.com/search/new/tp/,NA
29078,Lugoff Toyota,"878 Highway 1 South, Lugoff, South Carolina 29078",http://www.lugofftoyota.com,Lugoff,SC,Kershaw County,NA,http://www.lugofftoyota.com/searchnew.aspx,NA
29118,Jimmy Jones Toyota of Orangeburg,"3237 St. Matthews Road, Orangeburg, South Carolina 29118",http://www.jimmyjonestoyota.com,Orangeburg,SC,Orangeburg County,NA,http://www.jimmyjonestoyota.com/new-cars-orangeburg-sc,NA
29150,Scott Will Toyota of Sumter,"2542 Broad Street, Sumter, South Carolina 29150",http://www.scottwilltoyota.com,Sumter,SC,Sumter County,NA,http://scottwilltoyota.com/New_Inventory,NA
29169,Fred Anderson Toyota of Columbia,"2136 Sunset Blvd., West Columbia, South Carolina 29169",http://www.toyotaofcolumbia.com,West Columbia,SC,Lexington County,NA,http://www.toyotaofcolumbia.com/new-cars-west-columbia-sc,NA
29203,Dick Dyer Toyota,"240 Killian Commons Parkway, Columbia, South Carolina 29203",http://www.dickdyertoyota.com,Columbia,SC,Richland County,NA,http://dickdyertoyota.com/New-Inventory,NA
29301,Dave Edwards Toyota,"2450 Reidville Road, Spartanburg, South Carolina 29301",http://www.daveedwardstoyota.com,Spartanburg,SC,Spartanburg County,NA,http://www.daveedwardstoyota.com/searchnew.aspx,NA
29406,Hendrick Toyota Scion North Charleston,"7151 Rivers Avenue, North Charleston, South Carolina 29406",http://www.HendrickToyotaNorthCharleston.com,Charleston,SC,Charleston County,NA,NA,NA
29414,Fred Anderson Toyota of Charleston,"2100 Savannah Highway, Charleston, South Carolina 29414",http://www.toyotaofcharleston.com,Charleston,SC,Charleston County,NA,http://www.toyotaofcharleston.com/new-cars-charleston-sc,NA
29501,Florence Toyota,"2300 West Palmetto Street, Florence, South Carolina 29501",http://www.florencetoyota.com,Florence,SC,Florence County,NA,http://www.florencetoyota.com/new-toyota-model-information.html,NA
29579,Sparks Toyota,"4855 Highway 501, Myrtle Beach, South Carolina 29579",http://www.sparkstoyota.com,Myrtle Beach,SC,Horry County,NA,http://sparkstoyota.com/New-Inventory.aspx,NA
29607,Toyota of Greenville,"2686 Laurens Road, Greenville, South Carolina 29607",http://www.toyotaofgreenville.com,Greenville,SC,Greenville County,NA,http://www.toyotaofgreenville.com/new-inventory/?,NA
29621,Ralph Hayes Toyota,"3525 Clemson Boulevard, Anderson, South Carolina 29621",http://www.ralphhayestoyota.com,Anderson,SC,Anderson County,NA,http://ralphhayestoyota.com/New_Inventory,NA
29640,Toyota of Easley,"5643 Calhoun Memorial Hwy, Easley, South Carolina 29640",http://www.toyotaofeasley.com,Easley,SC,Pickens County,NA,http://www.toyotaofeasley.com/searchnew.aspx,NA
29646,Ballentine Toyota,"1305 Highway 72 By-Pass, Greenwood, South Carolina 29646",http://www.ballentinetoyota.com,Greenwood,SC,Greenwood County,NA,http://www.ballentinetoyota.com/new-inventory/,NA
29651,Toyota of Greer,"13770 E. Wade Hampton Blvd., Greer, South Carolina 29651",http://www.toyotaofgreer.com,Greer,SC,Spartanburg County,NA,http://www.toyotaofgreer.com/searchnew.aspx,NA
29730,Toyota of Rock Hill,"640 Galleria Boulevard, Rock Hill, South Carolina 29730",http://www.toyotaofrockhill.com,Rock Hill,SC,York County,NA,http://www.toyotaofrockhill.com/new-inventory/index.htm,NA
29841,Bob Richards Toyota of North Augusta,"5512 Jefferson Davis Highway, North Augusta, South Carolina 29841",http://www.bobrichardstoyota.com,North Augusta,SC,Aiken County,NA,http://bobrichardstoyota.com/New_Inventory,NA
29906,Stokes Brown Toyota,"3557 Trask Parkway, Beaufort, South Carolina 29906",http://www.stokesbrowntoyotabeaufort.com,Beaufort,SC,Beaufort County,NA,http://www.stokesbrowntoyotabeaufort.com/search/new/tp/,NA
29910,Stokes Brown Toyota of Hilton Head,"100 Fording Island Road, Bluffton, South Carolina 29910",http://www.stokesbrowntoyotahiltonhead.com,Bluffton,SC,Beaufort County,NA,http://www.stokesbrowntoyotahiltonhead.com/search/new/tp/,NA
30038,Nalley Toyota Stonecrest,"7969 Mall Parkway, Lithonia, Georgia 30038",http://www.stonecresttoyota.com,Lithonia,GA,DeKalb County,NA,http://www.stonecresttoyota.com/new-inventory/index.htm,NA
30047,Stone Mountain Toyota,"4400 Stone Mountain Highway, Lilburn, Georgia 30047",http://www.stonemountaintoyota.com,Lilburn,GA,Gwinnett County,NA,http://www.stonemountaintoyota.com/new-inventory/index.htm,NA
30060,Marietta Toyota,"750 Cobb Parkway South, Marietta, Georgia 30060",http://www.mariettatoyota.com,Marietta,GA,Cobb County,NA,http://www.mariettatoyota.com/new-inventory/index.htm,NA
30076,Nalley Toyota of Roswell,"11130 Alpharetta Highway, Roswell, Georgia 30076",http://www.toyotaofroswell.com,Roswell,GA,Fulton County,NA,http://www.toyotaofroswell.com/new-inventory/index.htm,NA
30096,Atlanta Toyota,"2345 Pleasant Hill Road, Duluth, Georgia 30096",http://www.atlantatoyota.com,Duluth,GA,Gwinnett County,NA,http://www.atlantatoyota.com/new-cars.aspx,NA
30114,Cherokee County Toyota,"301 Liberty Blvd., Canton, Georgia 30114",http://www.cherokeecountytoyota.com,Canton,GA,Cherokee County,NA,http://cherokeecountytoyota.com/New_Inventory,NA
30122,AutoNation Toyota Thornton Road,"1000 Blairs Bridge Road, Lithia Springs, Georgia 30122",http://www.autonationtoyotathorntonroad.com,Lithia Springs,GA,Douglas County,NA,http://www.autonationtoyotathorntonroad.com/VehicleSearchResults?search=new,NA
30144,Cobb County Toyota,"2111 Barrett Lakes Blvd., Kennesaw, Georgia 30144",http://www.cobbcountytoyota.com,Kennesaw,GA,Cobb County,NA,http://cobbcountytoyota.com/New_Inventory,NA
30161,"Riverside Toyota, Inc.","131 Highway 411 East, Rome, Georgia 30161",http://www.riversidetoyota.com,Rome,GA,Floyd County,NA,http://riversidetoyota.com/new-vehicles/,NA
30241,La Grange Toyota,"1221 Lafayette Parkway, La Grange, Georgia 30241",http://www.lagrangetoyota.com,Lagrange,GA,Troup County,NA,http://www.lagrangetoyota.com/new-inventory/index.htm,NA
30253,Toyota of McDonough,"144 Highway 81 West, McDonough, Georgia 30253",http://www.toyotaofmcdonough.com,Mcdonough,GA,Henry County,NA,http://www.toyotaofmcdonough.com/search/new/tp/,NA
30260,Toyota South Atlanta,"6865 Jonesboro Road, Morrow, Georgia 30260",http://www.toyotasouthatlanta.com,Morrow,GA,Clayton County,NA,http://www.toyotasouthatlanta.com/searchnew.aspx,NA
30265,Toyota of Newnan,"2 Herring Road, Newnan, Georgia 30265",http://www.toyotaofnewnan.com,Newnan,GA,Coweta County,NA,http://www.toyotaofnewnan.com/searchnew.aspx,NA
30291,Toyota of Union City,"4115 Jonesboro Road, Union City, Georgia 30291",http://www.unioncitytoyota.com,Union City,GA,Fulton County,NA,http://www.unioncitytoyota.com/searchnew.aspx,NA
30328,Rick Hendrick Toyota Scion Sandy Springs,"6475 Roswell Road, Atlanta, Georgia 30328",http://www.rickhendricktoyotasandysprings.com,Atlanta,GA,Fulton County,NA,NA,NA
30341,World Toyota,"5800 Peachtree Industrial Blvd, Atlanta, Georgia 30341",http://www.worldtoyota.com,Atlanta,GA,DeKalb County,NA,http://www.worldtoyota.com/new-inventory/,NA
30458,Franklin Toyota,"500 Commerce Drive, Statesboro, Georgia 30458",http://www.franklintoyota.com,Statesboro,GA,Bulloch County,NA,http://www.franklintoyota.com/new-inventory/index.htm,NA
30504,Milton Martin Toyota,"2350 Browns Bridge Road, Gainesville, Georgia 30504",http://www.miltonmartintoyota.com,Gainesville,GA,Hall County,NA,http://www.miltonmartintoyota.com/new-inventory,NA
30519,AutoNation Toyota Mall of Georgia,"3505 Buford Drive, Buford, Georgia 30519",http://www.autonationtoyotamallofgeorgia.com,Buford,GA,Gwinnett County,NA,http://www.autonationtoyotamallofgeorgia.com/VehicleSearchResults?search=new,NA
30606,Heyward Allen Toyota,"2910 Atlanta Highway, Athens, Georgia 30606",http://www.heywardallentoyota.com,Athens,GA,Clarke County,NA,http://www.heywardallentoyota.com/new-inventory/index.htm,NA
30721,North Georgia Toyota,"1510 East Walnut Avenue, Dalton, Georgia 30721",http://www.northgeorgiatoyota.com,Dalton,GA,Whitfield County,NA,http://www.northgeorgiatoyota.com/searchnew.aspx,NA
30907,Milton Ruben Toyota of Augusta,"3514 Washington Road, Augusta, Georgia 30907",http://www.miltonrubentoyota.com,Augusta,GA,Columbia County,NA,http://www.miltonrubentoyota.com/searchnew.aspx,NA
