Name,Adress,Zipcode,City,GeoLatitude,GeoLongtitude,Website
Classic Chevrolet,"40 Dickinson Street, Amherst, MA 01002, United States",1035,Hadley,42.374168,-72.512918,http://www.classicchevyauto.com/
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1038,Hatfield,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1038,Hatfield,42.343222,-72.642776,http://www.burkechevy.com/
Classic Chevrolet,"40 Dickinson Street, Amherst, MA 01002, United States",1038,Hatfield,42.374168,-72.512918,http://www.classicchevyauto.com/
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1039,Haydenville,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1039,Haydenville,42.343222,-72.642776,http://www.burkechevy.com/
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1053,Leeds,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1053,Leeds,42.343222,-72.642776,http://www.burkechevy.com/
Classic Chevrolet,"40 Dickinson Street, Amherst, MA 01002, United States",1054,Leverett,42.374168,-72.512918,http://www.classicchevyauto.com/
Balise Chevrolet Buick GMC,"440 Hall of Fame Avenue, Springfield, MA 01105, United States",1056,Ludlow,42.087323,-72.58161,http://www.balisechevybuickgmc.com/
Bertera Chevrolet Inc,"1187 Thorndike Street, Palmer, MA 01069, United States",1057,Monson,42.172781,-72.323086,http://berterachevy.com/
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1059,North Amherst,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1059,North Amherst,42.343222,-72.642776,http://www.burkechevy.com/
Classic Chevrolet,"40 Dickinson Street, Amherst, MA 01002, United States",1059,North Amherst,42.374168,-72.512918,http://www.classicchevyauto.com/
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1060,Northampton,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1060,Northampton,42.343222,-72.642776,http://www.burkechevy.com/
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1061,Northampton,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1061,Northampton,42.343222,-72.642776,http://www.burkechevy.com/
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1062,Florence,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1062,Florence,42.343222,-72.642776,http://www.burkechevy.com/
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1063,Northampton,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1063,Northampton,42.343222,-72.642776,http://www.burkechevy.com/
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1066,North Hatfield,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1066,North Hatfield,42.343222,-72.642776,http://www.burkechevy.com/
Classic Chevrolet,"40 Dickinson Street, Amherst, MA 01002, United States",1066,North Hatfield,42.374168,-72.512918,http://www.classicchevyauto.com/
Bertera Chevrolet Inc,"1187 Thorndike Street, Palmer, MA 01069, United States",1069,Palmer,42.172781,-72.323086,http://berterachevy.com/
Classic Chevrolet,"40 Dickinson Street, Amherst, MA 01002, United States",1072,Shutesbury,42.374168,-72.512918,http://www.classicchevyauto.com/
Balise Automotive Group,"122 Doty Circle, West Springfield, MA 01089, United States",1073,Southampton,42.146158,-72.625959,http://www.baliseauto.com/
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1075,South Hadley,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1075,South Hadley,42.343222,-72.642776,http://www.burkechevy.com/
Bertera Dodge Chrysler Jeep,"01085, 167 Springfield Road, Westfield, MA 01085, United States",1077,Southwick,42.107575,-72.705203,http://www.berteradodge.com/
Deals 4 Wheels,"115 Springfield Road, Westfield, MA 01085, United States",1077,Southwick,42.109598,-72.708695,http://www.deals4wheelsinc.com/
Walt's Auto Sales,"483 College Highway, Southwick, MA 01077, United States",1077,Southwick,42.055238,-72.770062,http://www.waltsautosma.com/
Bertera Chevrolet Inc,"1187 Thorndike Street, Palmer, MA 01069, United States",1079,Thorndike,42.172781,-72.323086,http://berterachevy.com/
Bertera Chevrolet Inc,"1187 Thorndike Street, Palmer, MA 01069, United States",1080,Three Rivers,42.172781,-72.323086,http://berterachevy.com/
Bertera Chevrolet Inc,"1187 Thorndike Street, Palmer, MA 01069, United States",1082,Ware,42.172781,-72.323086,http://berterachevy.com/
Bertera Dodge Chrysler Jeep,"01085, 167 Springfield Road, Westfield, MA 01085, United States",1085,Westfield,42.107575,-72.705203,http://www.berteradodge.com/
Bertera Collision Repair Center,"160 Westfield Street, West Springfield, MA 01089, United States",1085,Westfield,42.106998,-72.626752,http://www.berterachryslerjeep.com/west-springfield-collision-repair-by-bertera.htm
Deals 4 Wheels,"115 Springfield Road, Westfield, MA 01085, United States",1085,Westfield,42.109598,-72.708695,http://www.deals4wheelsinc.com/
Pikeside Automotive,"300 North Elm Street, Westfield, MA 01085, United States",1085,Westfield,42.137716,-72.739142,http://www.pikesideauto.net/
